filename,notes,authors,licenses,urls
"body/wings/pixie/transparent/fg/walk/pink.png","In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0, CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings"
"body/bodies/female/walk.png","see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating), bluecarrot16, TheraHedwig, Evert, MuffinElZangano, Durrani, Pierre Vigier (pvigier), ElizaWy, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-ladies, https://opengameart.org/content/lpc-7-womens-shirts, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-revised-character-basics, https://gitlab.com/vagabondgame/lpc-characters, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
"head/heads/human/elderly_small/walk.png","original head by Redshrike, elderly & reduced size head by ElizaWy","ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY",""
"eyes/eyebrows/thin/adult/walk.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"head/faces/elderly/neutral/walk.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"head/ears/elven/adult/walk.png","adapted to v3 base by bluecarrot16; expanded to other animations and child by JaidynReiman","JaidynReiman, bluecarrot16, Thane Brimhall (pennomi), laetissima, Matthew Krohn (makrohn), JaidynReiman","GPL 3.0, CC-BY-SA 3.0","https://opengameart.org/content/lpc-base-character-expressions, http://opengameart.org/content/lpc-clothing-updates"
"neck/necklace/simple/female/walk/steel.png","","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
"hair/shoulderl/adult/fg/walk.png","","JaidynReiman, Lanea Zimmerman (Sharm), Manuel Riecke (MrBeast)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://github.com/jrconway3/Universal-LPC-spritesheet/commit/c32ce8a7edd9fc7fe7daa62a39cf64e5946020a2, https://opengameart.org/content/lpc-expanded-hair"
"facial/earrings/emerald/female/walk/purple.png","","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
"dress/slit/female/walk/pink.png","original "TightDress" by Nila122, by ElizaWy, extended to all animation frames and edited for v3 bases by bluecarrot16","Nila122, ElizaWy, bluecarrot16","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair, http://opengameart.org/content/lpc-clothing-updates"
"legs/skirts/overskirt/thin/walk.png","original princess.xcf by Sharm, extended to all poses by makrohn, edited to v3 bases and animation cleanup by bluecarrot16","bluecarrot16, Matthew Krohn (makrohn), Lanea Zimmerman (Sharm)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-dress-in-combat-poses, http://opengameart.org/content/lpc-clothing-updates"
"weapon/magic/wand/female/walk/wand.png","","Matthew Krohn (makrohn)","CC-BY-SA 3.0, GPL 3.0, OGA-BY 3.0","https://opengameart.org/content/lpc-wands"
"weapon/magic/crystal/universal/foreground/walk/blue.png","","bluecarrot16","OGA-BY 3.0+, GPL 3.0, CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
